FromParticipantId;Value_settled;Value_input;settled_input_ratio
1;5619955526.37;5619955526.37;1.0
10;6292909082.86;6292909082.86;1.0
11;11416235745.56;11875564867.56;0.9613214927354967
12;6868872656.22;9120661941.199999;0.7531111996588559
13;4304429831.15;4725707178.33;0.9108541153138324
14;5700388200.19;6096363427.84;0.9350473060969893
15;7266930344.0199995;7266930344.0199995;1.0
16;7958944366.95;8647269305.64;0.9203997337932965
17;11341551146.2;11341551146.2;1.0
18;8509150473.33;8509150473.33;1.0
19;9800570714.5;10696910119.55;0.9162057645588868
2;12414931561.95;16089716850.18;0.7716065905666395
20;9231275867.44;9645596928.06;0.9570455759544857
21;6205936265.059999;6638700107.88;0.9348119608074601
22;7231234033.53;7231234033.53;1.0
23;10952355181.18;11543432011.52;0.9487953989983114
24;6672817455.67;7766635496.07;0.8591644939493448
25;8970021768.96;8970021768.96;1.0
26;8068645652.98;8310145966.28;0.9709391009159245
27;10489326160.94;11942329897.45;0.8783316363735476
28;8310891563.7;9349820913.5;0.8888824332132487
29;7086802669.7;7086802669.7;1.0
3;13971954090.32;14132439168.58;0.9886442052680616
30;7786475604.45;9037971084.57;0.8615291564434627
4;10656353696.45;10656353696.45;1.0
5;6625257034.24;7740529306.75;0.8559178283147322
6;8561483431.76;10912827043.64;0.7845339615044697
7;9871208696.23;13528333723.61;0.729669218538164
8;5768877577.77;5856580132.41;0.9850249543834194
9;6510244782.06;7230176925.940001;0.9004267597799619
