SettlementDeadline;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;T+x;Starttime
2024-03-10;1953;2024-03-08 03:07:42;90272700.72;8;0;3;0;826;2;2024-03-08 03:41:38
2024-03-10;1964;2024-03-08 03:41:37;90272700.72;3;5;8;5;826;2;2024-03-08 03:41:38
2024-03-10;1965;2024-03-08 03:42:58;222931893.35;7;7;1;7;1459;2;2024-03-08 04:00:46
2024-03-10;1971;2024-03-08 04:00:45;222931893.35;1;0;7;0;1459;2;2024-03-08 04:00:46
2024-03-10;1967;2024-03-08 03:45:48;130067853.05;2;0;4;0;932;2;2024-03-08 04:11:31
2024-03-10;1976;2024-03-08 04:11:30;130067853.05;4;8;2;8;932;2;2024-03-08 04:11:31
2024-03-10;1973;2024-03-08 04:04:04;55785841.41;6;5;7;5;1498;2;2024-03-08 04:24:20
2024-03-10;1977;2024-03-08 04:24:19;55785841.41;7;0;6;0;1498;2;2024-03-08 04:24:20
2024-03-10;1980;2024-03-08 04:32:14;110137494.28;4;6;8;6;1455;2;2024-03-08 04:40:34
2024-03-10;1983;2024-03-08 04:40:33;110137494.28;8;0;4;0;1455;2;2024-03-08 04:40:34
2024-03-10;1933;2024-03-08 01:37:24;154855405.0;4;8;3;8;329;2;2024-03-08 04:54:48
2024-03-10;1987;2024-03-08 04:54:47;154855405.0;3;0;4;0;329;2;2024-03-08 04:54:48
2024-03-10;1985;2024-03-08 04:48:56;43579286.04;1;0;4;0;175;2;2024-03-08 04:59:05
2024-03-10;1991;2024-03-08 04:59:04;43579286.04;4;3;1;3;175;2;2024-03-08 04:59:05
2024-03-10;1958;2024-03-08 03:26:02;72807813.89;6;7;8;7;1210;2;2024-03-08 05:05:36
2024-03-10;1993;2024-03-08 05:05:35;72807813.89;8;0;6;0;1210;2;2024-03-08 05:05:36
2024-03-10;1932;2024-03-08 01:35:04;141754709.54;4;4;7;4;39;2;2024-03-08 05:34:35
2024-03-10;2003;2024-03-08 05:34:34;141754709.54;7;0;4;0;39;2;2024-03-08 05:34:35
2024-03-10;1972;2024-03-08 04:01:50;194607783.13;5;0;1;0;1431;2;2024-03-08 05:59:51
2024-03-10;2012;2024-03-08 05:59:50;194607783.13;1;5;5;5;1431;2;2024-03-08 05:59:51
2024-03-10;1962;2024-03-08 03:36:49;52945792.2;8;0;6;0;359;2;2024-03-08 06:26:32
2024-03-10;2022;2024-03-08 06:26:31;52945792.2;6;1;8;1;359;2;2024-03-08 06:26:32
2024-03-10;1957;2024-03-08 03:23:40;156047890.46;2;3;1;3;84;2;2024-03-08 06:55:12
2024-03-10;2026;2024-03-08 06:55:11;156047890.46;1;0;2;0;84;2;2024-03-08 06:55:12
2024-03-10;2006;2024-03-08 05:44:34;63630300.02;8;0;1;0;995;2;2024-03-08 07:01:11
2024-03-10;2027;2024-03-08 07:01:10;63630300.02;1;4;8;4;995;2;2024-03-08 07:01:11
2024-03-10;2004;2024-03-08 05:38:35;223198934.01;1;1;3;1;728;2;2024-03-08 07:26:42
2024-03-10;2033;2024-03-08 07:26:41;223198934.01;3;0;1;0;728;2;2024-03-08 07:26:42
2024-03-10;2036;2024-03-08 07:34:13;135161798.01;3;0;6;0;1320;2;2024-03-08 07:43:54
2024-03-10;2041;2024-03-08 07:43:53;135161798.01;6;7;3;7;1320;2;2024-03-08 07:43:54
2024-03-10;1956;2024-03-08 03:17:10;110066059.98;6;2;8;2;1341;2;2024-03-08 08:05:17
2024-03-10;2047;2024-03-08 08:05:16;110066059.98;8;0;6;0;1341;2;2024-03-08 08:05:17
2024-03-10;2007;2024-03-08 05:47:04;46010826.71;2;0;7;0;1163;2;2024-03-08 08:09:56
2024-03-10;2049;2024-03-08 08:09:55;46010826.71;7;8;2;8;1163;2;2024-03-08 08:09:56
2024-03-10;1970;2024-03-08 04:00:41;122439122.2;4;3;8;3;1186;2;2024-03-08 08:35:54
2024-03-10;2055;2024-03-08 08:35:53;122439122.2;8;0;4;0;1186;2;2024-03-08 08:35:54
2024-03-10;1940;2024-03-08 02:11:43;107157016.42;3;0;2;0;1410;2;2024-03-08 09:42:29
2024-03-10;2071;2024-03-08 09:42:28;107157016.42;2;6;3;6;1410;2;2024-03-08 09:42:29
2024-03-10;1948;2024-03-08 02:40:50;82301434.53;6;0;5;0;377;2;2024-03-08 09:44:33
2024-03-10;2072;2024-03-08 09:44:32;82301434.53;5;7;6;7;377;2;2024-03-08 09:44:33
2024-03-10;2010;2024-03-08 05:53:29;150190460.33;7;0;4;0;538;2;2024-03-08 10:01:48
2024-03-10;2077;2024-03-08 10:01:47;150190460.33;4;7;7;7;538;2;2024-03-08 10:01:48
2024-03-10;2013;2024-03-08 06:00:57;69178351.02;1;4;4;4;962;2;2024-03-08 10:06:50
2024-03-10;2078;2024-03-08 10:06:49;69178351.02;4;0;1;0;962;2;2024-03-08 10:06:50
2024-03-10;1984;2024-03-08 04:43:44;78268880.52;2;0;3;0;1139;2;2024-03-08 10:13:11
2024-03-10;2079;2024-03-08 10:13:10;78268880.52;3;8;2;8;1139;2;2024-03-08 10:13:11
2024-03-10;2061;2024-03-08 09:16:36;135036319.34;5;8;1;8;770;2;2024-03-08 10:16:05
2024-03-10;2080;2024-03-08 10:16:04;135036319.34;1;0;5;0;770;2;2024-03-08 10:16:05
2024-03-10;2069;2024-03-08 09:34:52;297790910.65;4;0;5;0;401;2;2024-03-08 10:24:35
2024-03-10;2082;2024-03-08 10:24:34;297790910.65;5;2;4;2;401;2;2024-03-08 10:24:35
