SettlementDeadline;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;T+x;Starttime
2024-03-06;558;2024-03-04 02:38:11;32221243.81;4;3;2;3;869;2;2024-03-04 03:22:06
2024-03-06;571;2024-03-04 03:22:05;32221243.81;2;0;4;0;869;2;2024-03-04 03:22:06
2024-03-06;551;2024-03-04 02:12:50;339996479.51;5;5;1;5;770;2;2024-03-04 03:23:33
2024-03-06;572;2024-03-04 03:23:32;339996479.51;1;0;5;0;770;2;2024-03-04 03:23:33
2024-03-06;567;2024-03-04 03:08:00;10721555.41;7;7;4;7;723;2;2024-03-04 03:27:13
2024-03-06;573;2024-03-04 03:27:12;10721555.41;4;0;7;0;723;2;2024-03-04 03:27:13
2024-03-06;583;2024-03-04 04:01:46;22138174.79;6;0;3;0;521;2;2024-03-04 04:37:12
2024-03-06;591;2024-03-04 04:37:11;22138174.79;3;4;6;4;521;2;2024-03-04 04:37:12
2024-03-06;574;2024-03-04 03:27:40;30516394.16;2;1;4;1;568;2;2024-03-04 04:37:46
2024-03-06;592;2024-03-04 04:37:45;30516394.16;4;0;2;0;568;2;2024-03-04 04:37:46
2024-03-06;564;2024-03-04 03:04:48;33647497.73;5;1;4;1;53;2;2024-03-04 05:25:37
2024-03-06;608;2024-03-04 05:25:36;33647497.73;4;0;5;0;53;2;2024-03-04 05:25:37
2024-03-06;584;2024-03-04 04:03:54;386848842.99;1;3;3;3;771;2;2024-03-04 05:25:54
2024-03-06;609;2024-03-04 05:25:53;386848842.99;3;0;1;0;771;2;2024-03-04 05:25:54
2024-03-06;595;2024-03-04 04:43:16;148252167.22;8;1;5;1;41;2;2024-03-04 06:38:04
2024-03-06;634;2024-03-04 06:38:03;148252167.22;5;0;8;0;41;2;2024-03-04 06:38:04
2024-03-06;570;2024-03-04 03:18:12;333378678.97;5;4;7;4;506;2;2024-03-04 06:55:01
2024-03-06;640;2024-03-04 06:55:00;333378678.97;7;0;5;0;506;2;2024-03-04 06:55:01
2024-03-06;582;2024-03-04 03:56:27;26062374.52;4;0;5;0;871;2;2024-03-04 07:02:41
2024-03-06;643;2024-03-04 07:02:40;26062374.52;5;2;4;2;871;2;2024-03-04 07:02:41
2024-03-06;562;2024-03-04 02:53:52;122349332.41;7;0;2;0;468;2;2024-03-04 07:03:33
2024-03-06;645;2024-03-04 07:03:32;122349332.41;2;4;7;4;468;2;2024-03-04 07:03:33
2024-03-06;651;2024-03-04 07:22:15;357124278.36;7;0;5;0;554;2;2024-03-04 07:40:25
2024-03-06;654;2024-03-04 07:40:24;357124278.36;5;2;7;2;554;2;2024-03-04 07:40:25
2024-03-06;649;2024-03-04 07:20:32;139526025.07;3;7;5;7;1014;2;2024-03-04 07:52:43
2024-03-06;655;2024-03-04 07:52:42;139526025.07;5;0;3;0;1014;2;2024-03-04 07:52:43
2024-03-06;580;2024-03-04 03:54:42;33033165.98;6;4;4;4;1158;2;2024-03-04 08:37:53
2024-03-06;660;2024-03-04 08:37:52;33033165.98;4;0;6;0;1158;2;2024-03-04 08:37:53
2024-03-06;610;2024-03-04 05:28:07;363298382.0;1;0;4;0;787;2;2024-03-04 08:42:52
2024-03-06;662;2024-03-04 08:42:51;363298382.0;4;3;1;3;787;2;2024-03-04 08:42:52
2024-03-06;620;2024-03-04 05:57:57;307835252.76;1;0;5;0;931;2;2024-03-04 09:15:38
2024-03-06;669;2024-03-04 09:15:37;307835252.76;5;6;1;6;931;2;2024-03-04 09:15:38
2024-03-06;554;2024-03-04 02:22:26;258733956.99;8;1;3;1;43;2;2024-03-04 09:23:27
2024-03-06;671;2024-03-04 09:23:26;258733956.99;3;0;8;0;43;2;2024-03-04 09:23:27
2024-03-06;603;2024-03-04 05:15:02;149319753.1;6;4;5;4;657;2;2024-03-04 09:44:53
2024-03-06;676;2024-03-04 09:44:52;149319753.1;5;0;6;0;657;2;2024-03-04 09:44:53
2024-03-06;597;2024-03-04 04:53:52;151633481.82;2;0;4;0;1163;2;2024-03-04 09:58:10
2024-03-06;678;2024-03-04 09:58:09;151633481.82;4;1;2;1;1163;2;2024-03-04 09:58:10
2024-03-06;617;2024-03-04 05:48:52;280900359.67;7;0;5;0;170;2;2024-03-04 10:14:47
2024-03-06;684;2024-03-04 10:14:46;280900359.67;5;1;7;1;170;2;2024-03-04 10:14:47
2024-03-06;598;2024-03-04 04:55:05;111592740.16;1;0;7;0;121;2;2024-03-04 10:56:51
2024-03-06;692;2024-03-04 10:56:50;111592740.16;7;6;1;6;121;2;2024-03-04 10:56:51
2024-03-06;579;2024-03-04 03:48:24;260465304.14;1;0;8;0;943;2;2024-03-04 11:00:01
2024-03-06;694;2024-03-04 11:00:00;260465304.14;8;6;1;6;943;2;2024-03-04 11:00:01
2024-03-06;600;2024-03-04 05:11:03;118545210.73;3;0;7;0;1051;2;2024-03-04 11:42:42
2024-03-06;701;2024-03-04 11:42:41;118545210.73;7;2;3;2;1051;2;2024-03-04 11:42:42
2024-03-06;633;2024-03-04 06:26:04;194669947.88;8;0;7;0;30;2;2024-03-04 11:47:25
2024-03-06;702;2024-03-04 11:47:24;194669947.88;7;4;8;4;30;2;2024-03-04 11:47:25
2024-03-06;590;2024-03-04 04:34:29;64370155.32;5;0;7;0;10;2;2024-03-04 11:50:30
2024-03-06;704;2024-03-04 11:50:29;64370155.32;7;1;5;1;10;2;2024-03-04 11:50:30
