TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x;Starttime
540;2024-03-03 16:32:45;280365447.8;3;6;4;6;1267;2024-03-04;1;2024-03-03 16:32:45
644;2024-03-04 03:39:13;63144077.66;3;4;1;4;412;2024-03-06;2;2024-03-04 03:39:13
682;2024-03-04 05:48:02;225223904.01;1;5;3;5;1009;2024-03-05;1;2024-03-04 05:48:02
691;2024-03-04 06:14:59;107185769.95;1;4;4;4;572;2024-03-06;2;2024-03-04 06:14:59
716;2024-03-04 07:40:06;147146094.68;3;1;1;1;579;2024-03-06;2;2024-03-04 07:40:06
723;2024-03-04 07:58:04;133813934.62;1;8;6;8;623;2024-03-05;1;2024-03-04 07:58:04
741;2024-03-04 08:55:54;142852501.65;7;8;4;8;419;2024-03-06;2;2024-03-04 08:55:54
743;2024-03-04 08:58:23;169733906.52;4;6;5;6;699;2024-03-06;2;2024-03-04 08:58:23
748;2024-03-04 09:10:46;273005209.5;1;7;4;7;906;2024-03-06;2;2024-03-04 09:10:46
805;2024-03-04 12:38:25;185046529.13;6;3;4;3;280;2024-03-06;2;2024-03-04 12:38:25
855;2024-03-04 15:38:43;214503609.7;6;7;3;7;87;2024-03-06;2;2024-03-04 15:38:43
893;2024-03-04 17:25:57;75300266.39;1;2;8;2;700;2024-03-06;2;2024-03-04 17:25:57
935;2024-03-04 20:43:58;179196752.38;4;5;7;5;436;2024-03-06;2;2024-03-04 20:43:58
955;2024-03-05 00:57:55;234561906.49;4;8;3;8;232;2024-03-07;2;2024-03-05 00:57:55
956;2024-03-05 01:32:24;53545743.13;6;3;1;3;235;2024-03-07;2;2024-03-05 01:32:24
967;2024-03-05 02:17:46;152706274.65;4;6;5;6;94;2024-03-07;2;2024-03-05 02:17:46
971;2024-03-05 02:35:44;46360788.68;3;3;2;3;879;2024-03-06;1;2024-03-05 02:35:44
975;2024-03-05 02:44:36;131332206.09;1;1;3;1;1116;2024-03-07;2;2024-03-05 02:44:36
1001;2024-03-05 03:59:18;141065947.77;5;1;6;1;1004;2024-03-07;2;2024-03-05 03:59:18
1023;2024-03-05 05:25:01;195743097.33;6;3;1;3;608;2024-03-06;1;2024-03-05 05:25:01
1045;2024-03-05 07:08:51;97408111.7;7;0;1;0;450;2024-03-06;1;2024-03-05 07:08:51
1051;2024-03-05 07:40:09;52992247.56;2;6;1;6;1352;2024-03-07;2;2024-03-05 07:40:09
1134;2024-03-05 12:53:01;32494219.79;5;8;2;8;1363;2024-03-06;1;2024-03-05 12:53:01
1167;2024-03-05 15:17:17;202014689.8;8;4;5;4;1430;2024-03-07;2;2024-03-05 15:17:17
1196;2024-03-05 17:07:29;36279048.13;5;1;8;1;1096;2024-03-07;2;2024-03-05 17:07:29
