TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x;Starttime
1666;2024-03-07 06:38:37;95738146.65;4;1;5;1;245;2024-03-08;1;2024-03-07 06:38:37
1674;2024-03-07 06:46:57;86933657.48;5;7;3;7;1261;2024-03-08;1;2024-03-07 06:46:57
1740;2024-03-07 09:31:27;185700876.21;1;4;5;4;110;2024-03-09;2;2024-03-07 09:31:27
1853;2024-03-07 16:25:13;66125239.77;6;5;8;5;362;2024-03-08;1;2024-03-07 16:25:13
1881;2024-03-07 18:04:49;108222480.22;7;7;5;7;994;2024-03-09;2;2024-03-07 18:04:49
1903;2024-03-07 19:14:06;297717800.22;3;5;7;5;717;2024-03-08;1;2024-03-07 19:14:06
1905;2024-03-07 19:24:45;295153843.41;2;7;6;7;990;2024-03-09;2;2024-03-07 19:24:45
1925;2024-03-07 23:17:56;236106583.82;4;3;1;3;1287;2024-03-09;2;2024-03-07 23:17:56
1988;2024-03-08 04:56:04;199170378.05;2;2;5;2;1174;2024-03-10;2;2024-03-08 04:56:04
1994;2024-03-08 05:08:52;58412825.53;5;5;2;5;751;2024-03-10;2;2024-03-08 05:08:52
2020;2024-03-08 06:26:18;77255739.38;6;0;5;0;318;2024-03-10;2;2024-03-08 06:26:18
2023;2024-03-08 06:37:25;211325204.41;6;4;1;4;220;2024-03-09;1;2024-03-08 06:37:25
2028;2024-03-08 07:03:46;233890995.53;1;5;4;5;1337;2024-03-10;2;2024-03-08 07:03:46
2045;2024-03-08 08:00:53;103011104.02;5;1;7;1;884;2024-03-10;2;2024-03-08 08:00:53
2053;2024-03-08 08:29:12;53114869.97;3;6;1;6;781;2024-03-10;2;2024-03-08 08:29:12
2084;2024-03-08 10:30:03;105860141.14;1;7;2;7;1245;2024-03-10;2;2024-03-08 10:30:03
2096;2024-03-08 11:08:23;299904690.4;1;7;4;7;1300;2024-03-10;2;2024-03-08 11:08:23
2196;2024-03-08 16:55:01;19774304.19;3;6;2;6;1419;2024-03-10;2;2024-03-08 16:55:01
2202;2024-03-08 17:26:13;104794649.34;1;7;8;7;345;2024-03-10;2;2024-03-08 17:26:13
2233;2024-03-08 20:06:55;237956319.9;2;7;7;7;96;2024-03-09;1;2024-03-08 20:06:55
