SettlementDeadline;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;T+x;Starttime
2024-03-07;959;2024-03-05 01:33:32;301797214.52;6;6;4;6;4;2;2024-03-05 02:44:23
2024-03-07;974;2024-03-05 02:44:22;301797214.52;4;0;6;0;4;2;2024-03-05 02:44:23
2024-03-07;964;2024-03-05 02:14:36;43913689.52;1;0;4;0;1015;2;2024-03-05 02:45:29
2024-03-07;976;2024-03-05 02:45:28;43913689.52;4;1;1;1;1015;2;2024-03-05 02:45:29
2024-03-07;953;2024-03-05 00:43:44;118022067.81;8;0;7;0;1308;2;2024-03-05 02:50:21
2024-03-07;982;2024-03-05 02:50:20;118022067.81;7;5;8;5;1308;2;2024-03-05 02:50:21
2024-03-07;983;2024-03-05 02:51:30;212874540.24;7;2;6;2;183;2;2024-03-05 03:01:14
2024-03-07;986;2024-03-05 03:01:13;212874540.24;6;0;7;0;183;2;2024-03-05 03:01:14
2024-03-07;998;2024-03-05 03:50:01;56932985.71;7;5;8;5;93;2;2024-03-05 05:42:54
2024-03-07;1026;2024-03-05 05:42:53;56932985.71;8;0;7;0;93;2;2024-03-05 05:42:54
2024-03-07;1010;2024-03-05 04:42:34;172986901.95;6;5;4;5;577;2;2024-03-05 06:38:26
2024-03-07;1038;2024-03-05 06:38:25;172986901.95;4;0;6;0;577;2;2024-03-05 06:38:26
2024-03-07;1035;2024-03-05 06:21:48;68849063.85;5;7;2;7;1177;2;2024-03-05 07:04:51
2024-03-07;1044;2024-03-05 07:04:50;68849063.85;2;0;5;0;1177;2;2024-03-05 07:04:51
2024-03-07;1003;2024-03-05 04:06:52;207432040.18;3;5;5;5;890;2;2024-03-05 08:10:35
2024-03-07;1061;2024-03-05 08:10:34;207432040.18;5;0;3;0;890;2;2024-03-05 08:10:35
2024-03-07;1036;2024-03-05 06:24:05;29490942.39;1;6;8;6;253;2;2024-03-05 08:20:32
2024-03-07;1064;2024-03-05 08:20:31;29490942.39;8;0;1;0;253;2;2024-03-05 08:20:32
2024-03-07;1039;2024-03-05 06:38:59;49720925.42;4;8;8;8;528;2;2024-03-05 08:38:25
2024-03-07;1066;2024-03-05 08:38:24;49720925.42;8;0;4;0;528;2;2024-03-05 08:38:25
2024-03-07;970;2024-03-05 02:29:02;100816400.08;6;6;1;6;64;2;2024-03-05 09:03:58
2024-03-07;1073;2024-03-05 09:03:57;100816400.08;1;0;6;0;64;2;2024-03-05 09:03:58
2024-03-07;1049;2024-03-05 07:33:07;238827665.61;5;0;1;0;1422;2;2024-03-05 09:14:20
2024-03-07;1077;2024-03-05 09:14:19;238827665.61;1;6;5;6;1422;2;2024-03-05 09:14:20
