TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x;Starttime
309;2024-03-03 02:28:15;177063614.3;8;3;7;3;1089;2024-03-05;2;2024-03-03 02:28:15
320;2024-03-03 02:47:36;253286848.49;4;5;7;5;390;2024-03-05;2;2024-03-03 02:47:36
353;2024-03-03 04:59:05;63998462.72;3;7;5;7;493;2024-03-05;2;2024-03-03 04:59:05
506;2024-03-03 14:32:01;183352883.87;5;6;7;6;146;2024-03-05;2;2024-03-03 14:32:01
512;2024-03-03 14:59:52;248759109.01;7;7;4;7;664;2024-03-05;2;2024-03-03 14:59:52
540;2024-03-03 16:32:45;280365447.8;3;6;4;6;1267;2024-03-04;1;2024-03-03 16:32:45
555;2024-03-03 17:26:48;229601047.06;5;5;1;5;213;2024-03-05;2;2024-03-03 17:26:48
590;2024-03-03 19:06:57;246018770.67;6;8;5;8;633;2024-03-05;2;2024-03-03 19:06:57
595;2024-03-03 19:25:18;149661000.36;2;5;3;5;874;2024-03-05;2;2024-03-03 19:25:18
644;2024-03-04 03:39:13;63144077.66;3;4;1;4;412;2024-03-06;2;2024-03-04 03:39:13
665;2024-03-04 04:58:10;124345195.93;2;0;8;0;1224;2024-03-06;2;2024-03-04 04:58:10
682;2024-03-04 05:48:02;225223904.01;1;5;3;5;1009;2024-03-05;1;2024-03-04 05:48:02
691;2024-03-04 06:14:59;107185769.95;1;4;4;4;572;2024-03-06;2;2024-03-04 06:14:59
713;2024-03-04 07:31:57;35794228.25;2;0;3;0;14;2024-03-06;2;2024-03-04 07:31:57
716;2024-03-04 07:40:06;147146094.68;3;1;1;1;579;2024-03-06;2;2024-03-04 07:40:06
723;2024-03-04 07:58:04;133813934.62;1;8;6;8;623;2024-03-05;1;2024-03-04 07:58:04
728;2024-03-04 08:05:05;171494767.34;4;1;7;1;81;2024-03-06;2;2024-03-04 08:05:05
741;2024-03-04 08:55:54;142852501.65;7;8;4;8;419;2024-03-06;2;2024-03-04 08:55:54
743;2024-03-04 08:58:23;169733906.52;4;6;5;6;699;2024-03-06;2;2024-03-04 08:58:23
748;2024-03-04 09:10:46;273005209.5;1;7;4;7;906;2024-03-06;2;2024-03-04 09:10:46
805;2024-03-04 12:38:25;185046529.13;6;3;4;3;280;2024-03-06;2;2024-03-04 12:38:25
854;2024-03-04 15:35:16;392480734.68;7;3;6;3;1070;2024-03-06;2;2024-03-04 15:35:16
855;2024-03-04 15:38:43;214503609.7;6;7;3;7;87;2024-03-06;2;2024-03-04 15:38:43
856;2024-03-04 15:40:10;164011480.72;3;0;6;0;1157;2024-03-06;2;2024-03-04 15:40:10
893;2024-03-04 17:25:57;75300266.39;1;2;8;2;700;2024-03-06;2;2024-03-04 17:25:57
915;2024-03-04 18:36:30;193654913.09;7;0;2;0;1263;2024-03-06;2;2024-03-04 18:36:30
935;2024-03-04 20:43:58;179196752.38;4;5;7;5;436;2024-03-06;2;2024-03-04 20:43:58
