Time;2;0;3;4;1;5;Credit limit
2024-01-01 00:00:00;8470815892;2041565588;7074227181;7252375610;5356670699;936417698;-1256740857
2024-01-01 00:15:00;8470815892;2041565588;7074227181;7252375610;5356670699;936417698;-1256740857
2024-01-01 00:30:00;8470815892;2041565588;7074227181;7252375610;5356670699;936417698;-1256740857
2024-01-01 00:45:00;8470815892;2041565588;7074227181;7252375610;5356670699;936417698;-1256740857
2024-01-01 01:00:00;8470815892;2041565588;7074227181;7252375610;5356670699;936417698;-1256740857
2024-01-01 01:15:00;8470815892;2041565588;7074227181;7252375610;5356670699;936417698;-1256740857
2024-01-01 01:30:00;8470815892;2041565588;7074227181;7252375610;5356670699;936417698;-1256740857
2024-01-01 01:45:00;8470815892;2041565588;7074227181;7252375610;5356670699;936417698;-1256740857
2024-01-01 02:00:00;8470815892;2041565588;7074227181;7252375610;5356670699;936417698;-1256740857
2024-01-01 02:15:00;8470815892;2041565588;7074227181;7252375610;5356670699;936417698;-1256740857
2024-01-01 02:30:00;8470815892;2041565588;7074227181;7252375610;5356670699;936417698;-1256740857
2024-01-01 02:45:00;8470815892;1872651860;7243140909;7252375610;5356670699;936417698;-1256740857
2024-01-01 03:00:00;8470815892;1774118193;7341674575;7252375610;5356670699;936417698;-1256740857
2024-01-01 03:15:00;8470815892;1774118193;7341674575;7252375610;5356670699;936417698;-1256740857
2024-01-01 03:30:00;8317939302;1926994783;7341674575;7252375610;5356670699;936417698;-1256740857
2024-01-01 03:45:00;8317939302;1926994783;7341674575;7252375610;5356670699;936417698;-1256740857
2024-01-01 04:00:00;8317939302;1995166616;7341674575;7184203777;5356670699;936417698;-1256740857
2024-01-01 04:15:00;8317939302;1995166616;7341674575;7184203777;5356670699;936417698;-1256740857
2024-01-01 04:30:00;8317939302;1995166616;7341674575;7184203777;5356670699;936417698;-1256740857
2024-01-01 04:45:00;8317939302;2200471120;7341674575;7184203777;5151366194;936417698;-1256740857
2024-01-01 05:00:00;8317939302;2442481527;7341674575;7184203777;5151366194;694407290;-1256740857
2024-01-01 05:15:00;8317939302;2442481527;7341674575;7184203777;5151366194;694407290;-1256740857
2024-01-01 05:30:00;8317939302;2442481527;7341674575;7184203777;5151366194;694407290;-1256740857
2024-01-01 05:45:00;8317939302;2575549437;7208606665;7184203777;5151366194;694407290;-1256740857
2024-01-01 06:00:00;8317939302;2575549437;7208606665;7184203777;5151366194;694407290;-1256740857
2024-01-01 06:15:00;8317939302;2898846342;7118343314;7184203777;5151366194;461373736;-1256740857
2024-01-01 06:30:00;8317939302;2761158942;7118343314;7321891176;5151366194;461373736;-1256740857
2024-01-01 06:45:00;8317939302;2761158942;7118343314;7321891176;5151366194;461373736;-1256740857
2024-01-01 07:00:00;8317939302;2761158942;7118343314;7321891176;5151366194;461373736;-1256740857
2024-01-01 07:15:00;8287383602;2791714643;7118343314;7321891176;5151366194;461373736;-1256740857
2024-01-01 07:30:00;8287383602;2791714643;7118343314;7321891176;5151366194;461373736;-1256740857
2024-01-01 07:45:00;8287383602;2893402963;7118343314;7321891176;5151366194;359685416;-1256740857
2024-01-01 08:00:00;8480285692;2541134682;7118343314;7321891176;5310732384;359685416;-1256740857
2024-01-01 08:15:00;8480285692;2511120880;7118343314;7321891176;5310732384;389699218;-1256740857
2024-01-01 08:30:00;8480285692;2557146359;7072317835;7321891176;5310732384;389699218;-1256740857
2024-01-01 08:45:00;8480285692;2557146359;7072317835;7321891176;5310732384;389699218;-1256740857
2024-01-01 09:00:00;8288221235;2827804700;6993723952;7321891176;5310732384;389699218;-1256740857
2024-01-01 09:15:00;8426451460;2699767540;6983530886;7321891176;5310732384;389699218;-1256740857
2024-01-01 09:30:00;8426451460;2522056034;6983530886;7321891176;5310732384;567410725;-1256740857
2024-01-01 09:45:00;8426451460;2260940134;7042482877;7321891176;5512896292;567410725;-1256740857
2024-01-01 10:00:00;8446219285;2241172310;7042482877;7321891176;5512896292;567410725;-1256740857
2024-01-01 10:15:00;8446219285;2433321987;6850333200;7321891176;5512896292;567410725;-1256740857
2024-01-01 10:30:00;8446219285;2358106745;6737702703;7509736916;5512896292;567410725;-1256740857
2024-01-01 10:45:00;8446219285;2358106745;6737702703;7509736916;5512896292;567410725;-1256740857
2024-01-01 11:00:00;8446219285;2358106745;6737702703;7509736916;5512896292;567410725;-1256740857
2024-01-01 11:15:00;8405395021;2263456292;6737702703;7509736916;5648371009;567410725;-1256740857
2024-01-01 11:30:00;8405395021;2406274963;6737702703;7509736916;5505552337;567410725;-1256740857
2024-01-01 11:45:00;8405395021;2453081969;6737702703;7509736916;5458745332;567410725;-1256740857
2024-01-01 12:00:00;8405395021;2393042633;6824765872;7367131536;5458745332;682992272;-1256740857
2024-01-01 12:15:00;8405395021;2393042633;6824765872;7367131536;5458745332;682992272;-1256740857
2024-01-01 12:30:00;8405395021;2307385665;6824765872;7367131536;5458745332;768649240;-1256740857
2024-01-01 12:45:00;8405395021;2462391565;6824765872;7218913410;5458745332;761861465;-1256740857
2024-01-01 13:00:00;8405395021;2530916743;6824765872;7218913410;5390220154;761861465;-1256740857
2024-01-01 13:15:00;8405395021;2625311556;6824765872;7218913410;5295825341;761861465;-1256740857
2024-01-01 13:30:00;8366625865;2590193470;6824765872;7292800652;5295825341;761861465;-1256740857
2024-01-01 13:45:00;8366625865;2590193470;6824765872;7292800652;5295825341;761861465;-1256740857
2024-01-01 14:00:00;8366625865;2590193470;6824765872;7292800652;5295825341;761861465;-1256740857
2024-01-01 14:15:00;8540384576;2416434759;6824765872;7292800652;5295825341;761861465;-1256740857
2024-01-01 14:30:00;8540384576;2416434759;6824765872;7292800652;5295825341;761861465;-1256740857
2024-01-01 14:45:00;8708874576;2247944759;6824765872;7292800652;5295825341;761861465;-1256740857
2024-01-01 15:00:00;8708874576;2170637401;6824765872;7246284840;5431155450;750354527;-1256740857
2024-01-01 15:15:00;8609598958;2322859929;6771818961;7246284840;5431155450;750354527;-1256740857
2024-01-01 15:30:00;8609598958;2138829882;6771818961;7311044731;5586048103;714732030;-1256740857
2024-01-01 15:45:00;8609598958;2084042168;6771818961;7311044731;5640835817;714732030;-1256740857
2024-01-01 16:00:00;8609598958;2130250040;6725611089;7311044731;5640835817;714732030;-1256740857
2024-01-01 16:15:00;8741443183;1998405815;6725611089;7311044731;5640835817;714732030;-1256740857
2024-01-01 16:30:00;8741443183;1998405815;6725611089;7311044731;5640835817;714732030;-1256740857
2024-01-01 16:45:00;8741443183;1943087861;6678897095;7493070956;5640835817;634737754;-1256740857
2024-01-01 17:00:00;8741443183;1987748426;6634236529;7493070956;5640835817;634737754;-1256740857
2024-01-01 17:15:00;8731569366;1959302672;6634236529;7493070956;5679155388;634737754;-1256740857
2024-01-01 17:30:00;8731569366;1959302672;6634236529;7493070956;5679155388;634737754;-1256740857
2024-01-01 17:45:00;8731569366;1961057827;6632481374;7493070956;5679155388;634737754;-1256740857
2024-01-01 18:00:00;8731569366;2100997749;6632481374;7493070956;5587988732;585964489;-1256740857
2024-01-01 18:15:00;8731569366;2198401944;6632481374;7493070956;5307769870;768779156;-1256740857
2024-01-01 18:30:00;8658308073;2271663237;6632481374;7493070956;5307769870;768779156;-1256740857
